,City,Clouds,Country,Date,Lat,Lng,Max Temp,Winds
0,Henties Bay,92,NA,1553817729,-22.12,14.28,63.0,7.0
1,Rikitea,64,PF,1553818381,-23.12,-134.97,77.47,4.36
2,Gimli,68,CA,1553818534,50.63,-96.99,32.0,10.78
3,Hermanus,76,ZA,1553817700,-34.42,19.24,64.99,1.79
4,East London,0,ZA,1553818412,-33.02,27.91,70.63,19.46
5,Punta Arenas,75,CL,1553817748,-53.16,-70.91,55.4,8.05
6,Cape Town,75,ZA,1553818266,-33.93,18.42,66.99,2.24
7,Wamba,80,CD,1553818561,2.14,27.99,71.17,2.13
8,Iqaluit,90,CA,1553817723,63.75,-68.52,17.6,12.75
9,Hilo,1,US,1553818235,19.71,-155.08,78.8,10.29
10,Mount Gambier,75,AU,1553815620,-37.83,140.78,59.0,23.04
11,Cherskiy,36,RU,1553818436,68.75,161.3,-0.84,6.31
12,Salalah,0,OM,1553813400,17.01,54.1,77.0,4.7
13,Butaritari,56,KI,1553818414,3.07,172.79,82.96,11.12
14,Nikolskoye,20,RU,1553818333,59.7,30.79,39.2,8.95
15,Tasiilaq,0,GL,1553818429,65.61,-37.64,12.58,16.71
16,Ushuaia,40,AR,1553814000,-54.81,-68.31,57.2,12.75
17,Albany,75,US,1553818067,42.65,-73.75,54.0,16.11
18,Atuona,56,PF,1553818337,-9.8,-139.03,81.97,13.69
19,Havre-Saint-Pierre,75,CA,1553814000,50.23,-63.6,33.8,12.75
20,Hobart,0,AU,1553818215,-42.88,147.33,73.99,18.34
21,Cidreira,48,BR,1553818448,-30.17,-50.22,69.46,17.0
22,Mahebourg,40,MU,1553818445,-20.41,57.7,80.6,4.7
23,Itoman,75,JP,1553818348,26.12,127.67,77.0,11.41
24,Aksarka,44,RU,1553818564,66.56,67.8,18.97,7.94
25,Fort Wayne,90,US,1553818517,41.08,-85.14,57.99,5.82
26,Sao Filipe,0,CV,1553818429,14.9,-24.5,69.91,13.47
27,Uttiramerur,40,IN,1553815800,12.62,79.76,78.8,2.91
28,Thompson,75,CA,1553814000,55.74,-97.86,26.6,12.75
29,Rawson,0,AR,1553818444,-43.3,-65.11,60.91,4.03
30,Sri Aman,32,MY,1553814000,1.24,111.46,73.4,2.24
31,Lavrentiya,80,RU,1553818435,65.58,-170.99,30.94,17.0
32,Mataura,0,NZ,1553818205,-46.19,168.86,63.0,3.85
33,Georgetown,75,GY,1553814000,6.8,-58.16,80.6,13.87
34,Victoria,75,BN,1553815800,5.28,115.24,78.8,2.24
35,Launceston,0,AU,1553818269,-41.43,147.14,71.01,5.82
36,Kurumkan,8,RU,1553818566,54.33,110.32,2.14,2.39
37,Puerto Ayora,20,EC,1553817617,-0.74,-90.35,86.0,13.87
38,Longyearbyen,90,NO,1553815200,78.22,15.63,23.0,20.8
39,Saint-Georges,92,CA,1553817660,46.12,-70.67,39.99,9.66
40,Avarua,76,CK,1553815800,-21.21,-159.78,84.2,4.7
41,Kahului,40,US,1553818173,20.89,-156.47,80.6,6.93
42,Dunedin,0,NZ,1553818278,-45.87,170.5,62.01,20.0
43,Cervo,36,BR,1553818400,-22.19,-46.24,64.24,4.29
44,Vaini,0,IN,1553818379,15.34,74.49,64.69,1.61
45,Dikson,8,RU,1553818388,73.51,80.55,14.11,10.89
46,Tuktoyaktuk,75,CA,1553814000,69.44,-133.03,24.8,6.93
47,Bluff,92,AU,1553818568,-23.58,149.07,72.61,8.77
48,Besskorbnaya,80,RU,1553818564,44.65,41.31,32.0,11.01
49,Clyde River,90,CA,1553814000,70.47,-68.59,-7.61,10.29
50,Mayo,90,CA,1553814000,63.59,-135.9,46.4,2.24
51,Busselton,0,AU,1553818557,-33.64,115.35,55.0,15.88
52,Bathsheba,40,BB,1553814000,13.22,-59.52,78.8,14.99
53,Cairns,40,AU,1553817918,-16.92,145.77,82.0,6.93
54,Krasnyy Chikoy,80,RU,1553818480,50.36,108.75,18.88,3.36
55,Port Macquarie,0,AU,1553818205,-31.43,152.91,80.01,4.7
56,Marystown,0,CA,1553818431,47.17,-55.16,27.88,15.7
57,Alice Springs,0,AU,1553815800,-23.7,133.88,75.2,1.12
58,Kysyl-Syr,0,RU,1553818572,63.9,122.77,5.2,2.39
59,Galle,1,US,1553818521,29.74,-97.91,73.99,20.8
60,Goderich,92,CA,1553818571,43.74,-81.71,43.0,7.83
61,Santa Isabel,75,CO,1553814000,4.71,-75.1,78.8,3.36
62,Jamestown,8,AU,1553818386,-33.21,138.6,69.37,9.44
63,Severo-Kurilsk,76,RU,1553818412,50.68,156.12,32.11,15.1
64,Elena,0,BG,1553818529,42.93,25.88,35.6,2.24
65,Yellowknife,75,CA,1553818231,62.45,-114.38,30.2,17.22
